# Per-triangle psi statistic data for n=7
# Format: triangle_index l1[0..n-1] l2[0..2n-1] | psi_dist (q:count pairs)
# Canonical triangles with level1 = (0,1,...,n-1) and boundary ordering
# Total triangles: 3098
# Each row: idx l1_data l2_data | q0:c0 q1:c1 ...
#
45 0 1 2 3 4 5 6 | 0 1 3 2 4 0 5 3 6 1 2 4 5 6 | 5:17 6:99 7:315 8:531 9:732 10:826 11:826 12:732 13:531 14:315 15:99 16:17 
46 0 1 2 3 4 5 6 | 0 1 3 2 4 0 5 3 6 1 4 2 5 6 | 5:14 6:92 7:294 8:531 9:763 10:826 11:826 12:763 13:531 14:294 15:92 16:14 
47 0 1 2 3 4 5 6 | 0 1 3 2 4 0 5 3 6 2 4 1 5 6 | 5:12 6:74 7:286 8:547 9:763 10:838 11:838 12:763 13:547 14:286 15:74 16:12 
48 0 1 2 3 4 5 6 | 0 1 3 2 4 0 6 1 2 3 5 4 5 6 | 5:22 6:142 7:354 8:510 9:686 10:806 11:806 12:686 13:510 14:354 15:142 16:22 
49 0 1 2 3 4 5 6 | 0 1 3 2 4 0 6 1 2 4 5 3 5 6 | 5:16 6:143 7:321 8:534 9:682 10:824 11:824 12:682 13:534 14:321 15:143 16:16 
50 0 1 2 3 4 5 6 | 0 1 3 2 4 0 6 1 3 2 5 4 5 6 | 4:2 5:36 6:139 7:351 8:514 9:680 10:798 11:798 12:680 13:514 14:351 15:139 16:36 17:2 
51 0 1 2 3 4 5 6 | 0 1 3 2 4 0 6 1 3 4 5 2 5 6 | 4:3 5:40 6:140 7:338 8:508 9:685 10:806 11:806 12:685 13:508 14:338 15:140 16:40 17:3 
52 0 1 2 3 4 5 6 | 0 1 3 2 4 0 6 1 5 2 3 4 5 6 | 5:17 6:95 7:327 8:531 9:700 10:850 11:850 12:700 13:531 14:327 15:95 16:17 
53 0 1 2 3 4 5 6 | 0 1 3 2 4 0 6 1 5 2 4 3 5 6 | 5:10 6:66 7:314 8:548 9:702 10:880 11:880 12:702 13:548 14:314 15:66 16:10 
54 0 1 2 3 4 5 6 | 0 1 3 2 4 0 6 1 5 3 4 2 5 6 | 5:15 6:88 7:304 8:541 9:698 10:874 11:874 12:698 13:541 14:304 15:88 16:15 
55 0 1 2 3 4 5 6 | 0 1 3 2 4 0 6 2 3 1 5 4 5 6 | 5:24 6:120 7:340 8:532 9:684 10:820 11:820 12:684 13:532 14:340 15:120 16:24 
56 0 1 2 3 4 5 6 | 0 1 3 2 4 0 6 2 3 4 5 1 5 6 | 5:21 6:108 7:339 8:514 9:699 10:839 11:839 12:699 13:514 14:339 15:108 16:21 
57 0 1 2 3 4 5 6 | 0 1 3 2 4 0 6 2 5 1 3 4 5 6 | 5:10 6:72 7:296 8:562 9:708 10:872 11:872 12:708 13:562 14:296 15:72 16:10 
58 0 1 2 3 4 5 6 | 0 1 3 2 4 0 6 2 5 1 4 3 5 6 | 5:4 6:40 7:284 8:584 9:704 10:904 11:904 12:704 13:584 14:284 15:40 16:4 
59 0 1 2 3 4 5 6 | 0 1 3 2 4 0 6 2 5 3 4 1 5 6 | 5:5 6:52 7:262 8:577 9:722 10:902 11:902 12:722 13:577 14:262 15:52 16:5 
60 0 1 2 3 4 5 6 | 0 1 3 2 4 0 6 3 5 1 2 4 5 6 | 5:17 6:90 7:288 8:549 9:720 10:856 11:856 12:720 13:549 14:288 15:90 16:17 
61 0 1 2 3 4 5 6 | 0 1 3 2 4 0 6 3 5 1 4 2 5 6 | 5:14 6:78 7:287 8:531 9:735 10:875 11:875 12:735 13:531 14:287 15:78 16:14 
62 0 1 2 3 4 5 6 | 0 1 3 2 4 0 6 3 5 2 4 1 5 6 | 5:12 6:66 7:266 8:550 9:744 10:882 11:882 12:744 13:550 14:266 15:66 16:12 
63 0 1 2 3 4 5 6 | 0 1 3 2 4 1 2 0 3 4 5 5 6 6 | 4:40 5:120 6:240 7:360 8:480 9:600 10:680 11:680 12:600 13:480 14:360 15:240 16:120 17:40 
64 0 1 2 3 4 5 6 | 0 1 3 2 4 1 2 0 3 5 6 4 5 6 | 5:104 6:220 7:348 8:504 9:620 10:724 11:724 12:620 13:504 14:348 15:220 16:104 
65 0 1 2 3 4 5 6 | 0 1 3 2 4 1 2 0 5 3 4 5 6 6 | 4:10 5:100 6:220 7:360 8:500 9:620 10:710 11:710 12:620 13:500 14:360 15:220 16:100 17:10 
66 0 1 2 3 4 5 6 | 0 1 3 2 4 1 2 0 5 3 6 4 5 6 | 5:50 6:214 7:346 8:506 9:656 10:748 11:748 12:656 13:506 14:346 15:214 16:50 
67 0 1 2 3 4 5 6 | 0 1 3 2 4 1 2 0 5 4 6 3 5 6 | 5:34 6:186 7:366 8:490 9:684 10:760 11:760 12:684 13:490 14:366 15:186 16:34 
68 0 1 2 3 4 5 6 | 0 1 3 2 4 1 2 0 6 3 5 4 5 6 | 5:20 6:228 7:332 8:492 9:672 10:776 11:776 12:672 13:492 14:332 15:228 16:20 
69 0 1 2 3 4 5 6 | 0 1 3 2 4 1 2 0 6 4 5 3 5 6 | 5:28 6:182 7:358 8:478 9:688 10:786 11:786 12:688 13:478 14:358 15:182 16:28 
70 0 1 2 3 4 5 6 | 0 1 3 2 4 1 2 3 5 0 4 5 6 6 | 5:84 6:222 7:360 8:498 9:636 10:720 11:720 12:636 13:498 14:360 15:222 16:84 
71 0 1 2 3 4 5 6 | 0 1 3 2 4 1 2 3 5 0 6 4 5 6 | 5:24 6:210 7:342 8:516 9:660 10:768 11:768 12:660 13:516 14:342 15:210 16:24 
72 0 1 2 3 4 5 6 | 0 1 3 2 4 1 2 3 5 4 6 0 5 6 | 6:168 7:372 8:492 9:702 10:786 11:786 12:702 13:492 14:372 15:168 
73 0 1 2 3 4 5 6 | 0 1 3 2 4 1 2 3 6 0 5 4 5 6 | 6:216 7:324 8:516 9:648 10:816 11:816 12:648 13:516 14:324 15:216 
74 0 1 2 3 4 5 6 | 0 1 3 2 4 1 2 3 6 4 5 0 5 6 | 6:156 7:366 8:478 9:690 10:830 11:830 12:690 13:478 14:366 15:156 
75 0 1 2 3 4 5 6 | 0 1 3 2 4 1 2 5 6 0 3 4 5 6 | 6:118 7:346 8:504 9:692 10:860 11:860 12:692 13:504 14:346 15:118 
76 0 1 2 3 4 5 6 | 0 1 3 2 4 1 2 5 6 0 4 3 5 6 | 6:58 7:388 8:466 9:734 10:874 11:874 12:734 13:466 14:388 15:58 
77 0 1 2 3 4 5 6 | 0 1 3 2 4 1 2 5 6 3 4 0 5 6 | 6:44 7:360 8:508 9:706 10:902 11:902 12:706 13:508 14:360 15:44 
78 0 1 2 3 4 5 6 | 0 1 3 2 4 1 5 0 2 3 4 5 6 6 | 4:2 5:66 6:192 7:360 8:528 9:654 10:718 11:718 12:654 13:528 14:360 15:192 16:66 17:2 
79 0 1 2 3 4 5 6 | 0 1 3 2 4 1 5 0 2 3 6 4 5 6 | 5:24 6:160 7:342 8:538 9:674 10:782 11:782 12:674 13:538 14:342 15:160 16:24 
80 0 1 2 3 4 5 6 | 0 1 3 2 4 1 5 0 2 4 6 3 5 6 | 5:22 6:138 7:348 8:530 9:702 10:780 11:780 12:702 13:530 14:348 15:138 16:22 
